competence,level,level_name,description
5.2,5,ADVANCED,"As well as guiding others, I can:  assess needs, 
 apply different digital tools and possible technological responses to solve those needs.
 use different ways to adjust and customise digital environments to personal needs.
"
5.2,6,ADVANCED,"At advanced level, according to my own needs and those of others, and in complex contexts, I can:  assess needs,
 choose the most appropriate digital tools and possible technological responses to solve those needs.
 decide the most appropriate ways to adjust and customise digital environments to personal needs"
5.2,7,HIGHLY SPECIALISED,"At highly specialised level, I can:   create solutions to complex problems with limited definition using digital tools and possible technological responses, and to adapt and customise digital environments to personal needs.
 integrate my knowledge to contribute to professional practice and knowledge and guide others in identifying needs and technological responses.
"
5.2,8,HIGHLY SPECIALISED,"At the most advanced and specialised level, I can:  create solutions to solve complex problems with many interacting factors using digital tools and possible technological responses, and to adapt and customise digital environments to personal needs.
 I can propose new ideas and processes to the field."
5.3,1,FOUNDATION,"At basic level and with 
guidance, I can:  identify simple digital tools and technologies that can be used to create knowledge and to innovate processes and products.
 show interest individually and collectively in simple cognitive processing to understand and resolve simple conceptual problems and problem situations in digital environments.
"
5.3,2,FOUNDATION,"At basic level and with autonomy and appropriate guidance where needed, I can:  identify simple digital tools and technologies that can be used to create knowledge and to innovate processes and products.
 follow individually and collectively simple cognitive processing to understand and resolve simple conceptual problems and problem situations in digital environments."
5.3,3,INTERMEDIATE,"On my own and solving straightforward problems, I can:  select digital tools and technologies that can be used to create well-defined knowledge and well-defined innovative processes and products.
 engage individually and collectively in some cognitive processing to understand and resolve well-defined and routine conceptual problems and problem situations in digital environments.
"
5.3,4,INTERMEDIATE,"Independently, according to my own needs, and solving well-defined and non-routine problems, I can:  differentiate digital tools and technologies that can be used to create knowledge and to innovate processes and products.
 engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments."
5.3,5,ADVANCED,"As well as guiding others, I can:  apply different digital tools and technologies to create knowledge and innovative processes and products.
 apply individually and collectively cognitive processing to resolve different conceptual problems and problem situations in digital environments.
"
5.3,6,ADVANCED,"At advanced level, according to my own needs and those of others, and in complex contexts, I can:  adapt the most appropriate digital tools and technologies to create knowledge and to innovate processes and products.
 resolve individually and collectively conceptual problems and problem situations in digital environments."
5.3,7,HIGHLY SPECIALISED,"At highly specialised level, I can:   create solutions to complex problems with limited definition using digital tools and technologies.
 integrate my knowledge to contribute to professional practice and knowledge and guide others in creatively using digital technologies.
"
5.3,8,HIGHLY SPECIALISED,"At the most advanced and specialised level, I can:  create solutions to solve complex problems with many interacting factors using digital tools and technologies.
 propose new ideas and processes to the field."
5.4,1,FOUNDATION,"At basic level and with 
guidance, I can:  recognise where my own digital competence needs to be improved or updated.
 identify where to seek opportunities for self-developments and to keep up-to-date with the digital evolution.
"
5.4,2,FOUNDATION,"At basic level and with autonomy and appropriate guidance where needed, I can:  recognise where my own digital competence needs to be improved or updated,
 identify where to seek opportunities for self-developments and to keep up-to-date with the digital evolution."
5.4,3,INTERMEDIATE,"On my own and solving straightforward problems, I can:  explain where my digital competence needs to be improved or updated,
 indicate where to seek well-defined opportunities for self-developments and to keep up-to-date with the digital evolution.
"
5.4,4,INTERMEDIATE,"Independently, according to my own needs, and solving well-defined and non-routine problems, I can:  discuss on where my digital competence needs to be improved or updated,
 indicate how to support others to develop their digital competence.
 indicate where to seek opportunities for self-developments and to keep up-to-date with the digital evolution."
5.4,5,ADVANCED,"As well as guiding others, I can:  demonstrate where my own digital competence needs to be improved or updated,
 illustrate different ways to support others in the development of their digital competence.
 propose different opportunities found for self-development and to keep up-to-date with the digital evolution.
"
5.4,6,ADVANCED,"At advanced level, according to my own needs and those of others, and in complex contexts, I can:  decide which are the most appropriate ways to improve or update one’s own digital competence needs,
 assess the development of others’ digital competence.
 choose the most appropriate opportunities for self-development and to keep up-to date with new developments."
5.4,7,HIGHLY SPECIALISED,"At highly specialised level, I can:   create solutions to complex problems with limited definition that are related to improving digital competence, and to find opportunities for self-development and to keep up-to-date with new developments.
 integrate my knowledge to contribute to professional practice and knowledge and to guide others in identifying digital competence gaps.
"
5.4,8,HIGHLY SPECIALISED,"At the most advanced and specialised level, I can:  create solutions to solve complex problems with many interacting factors that are related to improving digital competence, and to find opportunities for self-development and to keep up-to-date with the digital evolution.
 propose new ideas and processes to the field."
